"GEOGRAPHY_NAME","GEOGRAPHY_TYPE","RURAL_URBAN_NAME","RURAL_URBAN_TYPECODE","CELL_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS","RECORD_OFFSET","RECORD_COUNT"
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Lives in a household","Percent",,"Q",87,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Lives in a communal establishment","Value",0,"A",88,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Lives in a communal establishment","Percent",,"Q",89,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",90,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",91,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Area (Hectares)","Value",0.00,"A",92,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Area (Hectares)","Percent",,"Q",93,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Density (number of persons per hectare)","Value",,"Q",94,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Density (number of persons per hectare)","Percent",,"Q",95,35645376
"E00062207","2011 output areas","Rural (total)",2000,"All usual residents","Value",242,"A",96,35645376
"E00062207","2011 output areas","Rural (total)",2000,"All usual residents","Percent",100.0,"A",97,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Males","Value",116,"A",98,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Males","Percent",47.9,"A",99,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Females","Value",126,"A",100,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Females","Percent",52.1,"A",101,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Lives in a household","Value",242,"A",102,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Lives in a household","Percent",100.0,"A",103,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Lives in a communal establishment","Value",0,"A",104,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Lives in a communal establishment","Percent",0.0,"A",105,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",7,"A",106,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",107,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Area (Hectares)","Value",865.24,"A",108,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Area (Hectares)","Percent",,"Q",109,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Density (number of persons per hectare)","Value",0.3,"A",110,35645376
"E00062207","2011 output areas","Rural (total)",2000,"Density (number of persons per hectare)","Percent",,"Q",111,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"All usual residents","Value",0,"A",112,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"All usual residents","Percent",,"Q",113,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Males","Value",0,"A",114,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Males","Percent",,"Q",115,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Females","Value",0,"A",116,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Females","Percent",,"Q",117,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Lives in a household","Value",0,"A",118,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Lives in a household","Percent",,"Q",119,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Lives in a communal establishment","Value",0,"A",120,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Lives in a communal establishment","Percent",,"Q",121,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",122,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",123,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Area (Hectares)","Value",0.00,"A",124,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Area (Hectares)","Percent",,"Q",125,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Density (number of persons per hectare)","Value",,"Q",126,35645376
"E00062207","2011 output areas","Rural town and fringe",1000,"Density (number of persons per hectare)","Percent",,"Q",127,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"All usual residents","Value",0,"A",128,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"All usual residents","Percent",,"Q",129,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Males","Value",0,"A",130,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Males","Percent",,"Q",131,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Females","Value",0,"A",132,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Females","Percent",,"Q",133,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Lives in a household","Value",0,"A",134,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Lives in a household","Percent",,"Q",135,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Lives in a communal establishment","Value",0,"A",136,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Lives in a communal establishment","Percent",,"Q",137,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",138,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",139,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Area (Hectares)","Value",0.00,"A",140,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Area (Hectares)","Percent",,"Q",141,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Density (number of persons per hectare)","Value",,"Q",142,35645376
"E00062207","2011 output areas","Rural town and fringe in a sparse setting",1000,"Density (number of persons per hectare)","Percent",,"Q",143,35645376
"E00062207","2011 output areas","Rural village",1000,"All usual residents","Value",0,"A",144,35645376
"E00062207","2011 output areas","Rural village",1000,"All usual residents","Percent",,"Q",145,35645376
"E00062207","2011 output areas","Rural village",1000,"Males","Value",0,"A",146,35645376
"E00062207","2011 output areas","Rural village",1000,"Males","Percent",,"Q",147,35645376
"E00062207","2011 output areas","Rural village",1000,"Females","Value",0,"A",148,35645376
"E00062207","2011 output areas","Rural village",1000,"Females","Percent",,"Q",149,35645376
"E00062207","2011 output areas","Rural village",1000,"Lives in a household","Value",0,"A",150,35645376
"E00062207","2011 output areas","Rural village",1000,"Lives in a household","Percent",,"Q",151,35645376
"E00062207","2011 output areas","Rural village",1000,"Lives in a communal establishment","Value",0,"A",152,35645376
"E00062207","2011 output areas","Rural village",1000,"Lives in a communal establishment","Percent",,"Q",153,35645376
"E00062207","2011 output areas","Rural village",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",154,35645376
"E00062207","2011 output areas","Rural village",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",155,35645376
"E00062207","2011 output areas","Rural village",1000,"Area (Hectares)","Value",0.00,"A",156,35645376
"E00062207","2011 output areas","Rural village",1000,"Area (Hectares)","Percent",,"Q",157,35645376
"E00062207","2011 output areas","Rural village",1000,"Density (number of persons per hectare)","Value",,"Q",158,35645376
"E00062207","2011 output areas","Rural village",1000,"Density (number of persons per hectare)","Percent",,"Q",159,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"All usual residents","Value",0,"A",160,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"All usual residents","Percent",,"Q",161,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Males","Value",0,"A",162,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Males","Percent",,"Q",163,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Females","Value",0,"A",164,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Females","Percent",,"Q",165,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Lives in a household","Value",0,"A",166,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Lives in a household","Percent",,"Q",167,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Lives in a communal establishment","Value",0,"A",168,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Lives in a communal establishment","Percent",,"Q",169,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",170,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",171,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Area (Hectares)","Value",0.00,"A",172,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Area (Hectares)","Percent",,"Q",173,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Density (number of persons per hectare)","Value",,"Q",174,35645376
"E00062207","2011 output areas","Rural village in a sparse setting",1000,"Density (number of persons per hectare)","Percent",,"Q",175,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"All usual residents","Value",242,"A",176,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"All usual residents","Percent",100.0,"A",177,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Males","Value",116,"A",178,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Males","Percent",47.9,"A",179,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Females","Value",126,"A",180,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Females","Percent",52.1,"A",181,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Lives in a household","Value",242,"A",182,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Lives in a household","Percent",100.0,"A",183,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Lives in a communal establishment","Value",0,"A",184,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Lives in a communal establishment","Percent",0.0,"A",185,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",7,"A",186,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",187,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Area (Hectares)","Value",865.24,"A",188,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Area (Hectares)","Percent",,"Q",189,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Density (number of persons per hectare)","Value",0.3,"A",190,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings",1000,"Density (number of persons per hectare)","Percent",,"Q",191,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"All usual residents","Value",0,"A",192,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"All usual residents","Percent",,"Q",193,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Males","Value",0,"A",194,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Males","Percent",,"Q",195,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Females","Value",0,"A",196,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Females","Percent",,"Q",197,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Lives in a household","Value",0,"A",198,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Lives in a household","Percent",,"Q",199,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Lives in a communal establishment","Value",0,"A",200,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Lives in a communal establishment","Percent",,"Q",201,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",202,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",203,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Area (Hectares)","Value",0.00,"A",204,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Area (Hectares)","Percent",,"Q",205,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Density (number of persons per hectare)","Value",,"Q",206,35645376
"E00062207","2011 output areas","Rural hamlet and isolated dwellings in a sparse setting",1000,"Density (number of persons per hectare)","Percent",,"Q",207,35645376
"E00062208","2011 output areas","Total",2000,"All usual residents","Value",490,"A",208,35645376
"E00062208","2011 output areas","Total",2000,"All usual residents","Percent",100.0,"A",209,35645376
"E00062208","2011 output areas","Total",2000,"Males","Value",246,"A",210,35645376
"E00062208","2011 output areas","Total",2000,"Males","Percent",50.2,"A",211,35645376
"E00062208","2011 output areas","Total",2000,"Females","Value",244,"A",212,35645376
"E00062208","2011 output areas","Total",2000,"Females","Percent",49.8,"A",213,35645376
"E00062208","2011 output areas","Total",2000,"Lives in a household","Value",490,"A",214,35645376
"E00062208","2011 output areas","Total",2000,"Lives in a household","Percent",100.0,"A",215,35645376
"E00062208","2011 output areas","Total",2000,"Lives in a communal establishment","Value",0,"A",216,35645376
"E00062208","2011 output areas","Total",2000,"Lives in a communal establishment","Percent",0.0,"A",217,35645376
"E00062208","2011 output areas","Total",2000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",5,"A",218,35645376
"E00062208","2011 output areas","Total",2000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",219,35645376
"E00062208","2011 output areas","Total",2000,"Area (Hectares)","Value",383.28,"A",220,35645376
"E00062208","2011 output areas","Total",2000,"Area (Hectares)","Percent",,"Q",221,35645376
"E00062208","2011 output areas","Total",2000,"Density (number of persons per hectare)","Value",1.3,"A",222,35645376
"E00062208","2011 output areas","Total",2000,"Density (number of persons per hectare)","Percent",,"Q",223,35645376
"E00062208","2011 output areas","Urban (total)",2000,"All usual residents","Value",0,"A",224,35645376
"E00062208","2011 output areas","Urban (total)",2000,"All usual residents","Percent",,"Q",225,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Males","Value",0,"A",226,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Males","Percent",,"Q",227,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Females","Value",0,"A",228,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Females","Percent",,"Q",229,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Lives in a household","Value",0,"A",230,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Lives in a household","Percent",,"Q",231,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Lives in a communal establishment","Value",0,"A",232,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Lives in a communal establishment","Percent",,"Q",233,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",234,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",235,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Area (Hectares)","Value",0.00,"A",236,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Area (Hectares)","Percent",,"Q",237,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Density (number of persons per hectare)","Value",,"Q",238,35645376
"E00062208","2011 output areas","Urban (total)",2000,"Density (number of persons per hectare)","Percent",,"Q",239,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"All usual residents","Value",0,"A",240,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"All usual residents","Percent",,"Q",241,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Males","Value",0,"A",242,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Males","Percent",,"Q",243,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Females","Value",0,"A",244,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Females","Percent",,"Q",245,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Lives in a household","Value",0,"A",246,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Lives in a household","Percent",,"Q",247,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Lives in a communal establishment","Value",0,"A",248,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Lives in a communal establishment","Percent",,"Q",249,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",250,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",251,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Area (Hectares)","Value",0.00,"A",252,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Area (Hectares)","Percent",,"Q",253,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Density (number of persons per hectare)","Value",,"Q",254,35645376
"E00062208","2011 output areas","Urban major conurbation",1000,"Density (number of persons per hectare)","Percent",,"Q",255,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"All usual residents","Value",0,"A",256,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"All usual residents","Percent",,"Q",257,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"Males","Value",0,"A",258,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"Males","Percent",,"Q",259,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"Females","Value",0,"A",260,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"Females","Percent",,"Q",261,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"Lives in a household","Value",0,"A",262,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"Lives in a household","Percent",,"Q",263,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"Lives in a communal establishment","Value",0,"A",264,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"Lives in a communal establishment","Percent",,"Q",265,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",266,35645376
"E00062208","2011 output areas","Urban minor conurbation",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",267,35645376
